concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match
Regular operations,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Regular operations,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Regular operations,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Regular operations,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Regular operations,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1
Regular operations,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1
Regular operations,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,14,1
Regular Expression,Arden's theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Regular Expression,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Regular Expression,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Regular Expression,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Regular Expression,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Regular Expression,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Regular Expression,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1
Regular Expression,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Regular Expression,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1
Regular Expression,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,12,1
Regular Expression,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1
Arden's theorem,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Arden's theorem,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Arden's theorem,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Arden's theorem,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Arden's theorem,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Arden's theorem,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Arden's theorem,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1
Arden's theorem,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Arden's theorem,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1
Arden's theorem,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,12,1
Arden's theorem,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,14,1
Regular Language,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Regular Language,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Regular Language,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Regular Language,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Regular Language,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Regular Language,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Regular Language,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1
Regular Language,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1
Regular Language,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1
Regular Language,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1
Closure properties,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Closure properties,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Closure properties,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Closure properties,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Closure properties,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Closure properties,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Closure properties,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Closure properties,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1
Closure properties,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,12,1
Decision properties of RLs,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Decision properties of RLs,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Decision properties of RLs,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Decision properties of RLs,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Decision properties of RLs,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Decision properties of RLs,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1
Decision properties of RLs,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Decision properties of RLs,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1
Pumping lemma,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Pumping lemma,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Pumping lemma,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Pumping lemma,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Pumping lemma,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Pumping lemma,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1
Pumping lemma,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1
RE in text search and replace,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
RE in text search and replace,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
RE in text search and replace,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
RE in text search and replace,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
RE in text search and replace,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
RE in text search and replace,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1
Languages in Compiler Design,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Languages in Compiler Design,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Languages in Compiler Design,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Languages in Compiler Design,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Languages in Compiler Design,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1
Text Processing,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Text Processing,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Text Processing,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
Text Processing,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1
Natural Language Processing (NLP),Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Natural Language Processing (NLP),Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Natural Language Processing (NLP),Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1
Nondeterministic Finite Automata (NFA): Definitions,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Nondeterministic Finite Automata (NFA): Definitions,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Equivalence between NFA with and ϵ- transitions,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Open-source and Proprietary Operating System,Fundamentals of Distributed Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,1,1
Open-source and Proprietary Operating System,Network Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,2,1
Open-source and Proprietary Operating System,Mobile Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,7,1
Open-source and Proprietary Operating System,Special-purpose Operating Systems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,9,1
Fundamentals of Distributed Operating System,Network Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,1,1
Fundamentals of Distributed Operating System,Mobile Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,6,1
Fundamentals of Distributed Operating System,Special-purpose Operating Systems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,8,1
Network Operating System,Mobile Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,5,1
Network Operating System,Special-purpose Operating Systems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,7,1
Mobile Operating System,Special-purpose Operating Systems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014113,Operating,2,1
Inverse Laplace transform using Convolution theorem,Laplace transform using derivatives and its properties,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,2343111,Applied,6,1
